id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
24910786,113023961,Shiraz,Marzahn - Hellersdorf,Hellersdorf-Süd,52.5242881774902,13.5831823348999,Private room,32,3,10,1,30
18356099,59011125,Silvio,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.5001144409180,13.4412059783936,Private room,32,1,92,1,354
10767132,12141370,Simon,Neukölln,Schillerpromenade,52.4735679626465,13.4255542755127,Entire home/apt,32,4,2,3,0
23821600,122193559,Simon,Treptow - Köpenick,Alt  Treptow,52.4893913269043,13.4570121765137,Private room,32,1,10,1,0
12840444,29805927,Sinja,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5210494995117,13.4562005996704,Private room,32,1,38,1,329
26778854,6650021,Snowy,Mitte,Moabit Ost,52.5326499938965,13.3494558334351,Private room,32,60,0,3,164
14712185,35093585,Stefanie,Neukölln,Neuköllner Mitte/Zentrum,52.4805984497070,13.4316902160645,Private room,32,3,5,1,0
14812319,92578754,Stella,Mitte,Brunnenstr. Nord,52.5424461364746,13.3964118957520,Private room,32,3,78,1,226
12012807,5245778,Stephan,Reinickendorf,Ost 2,52.5644226074219,13.3428201675415,Entire home/apt,32,60,0,5,0
14778670,5245778,Stephan,Reinickendorf,Ost 2,52.5649833679199,13.3427906036377,Entire home/apt,32,60,0,5,99
16536427,5245778,Stephan,Mitte,Parkviertel,52.5638580322266,13.3383111953735,Entire home/apt,32,60,0,5,191
